File Name	Description	Page No.
Whisky		9
Wines		9
Chief Rabbinate Strasbourg		10
Review financial structure 1994		10
Travel		10
Vinegar		10
Waxing of fruit		10
White House		10
Xanthan gum - Vegetable gum		10
Zhangjiagang Legal		10
Sugar		11
Tartaric acid		11
Tate & Lyle icing and tube sugar		11
Tate & Lyle Passover		11
Tomor		11
Transactions of the Jewish Historical Society in the UK		11
Very interesting articles		11
Queries		12
Shaalos		12
Shellac		12
The mesorah of kosher birds and animals		12
Court cases 	"* Rosie Ben Shushan  
* JFS
* Solinsky - JD Plitnick 
* Blooms"	13
Feasibility of National Kosher UK Certification		13
Important papers		13
Kashrus Meetings of the Beis Din		13
Kitniot		13
Legal Status of ECK		13
Letters & Kashrus Regulations		13
Rabbi Conway presentation synopsis - Products & ingredients		13
Reports: Kashrus, Shechita		13
Kashrus Committee Meetings		14
Kashrus Certificates		14
Kashrus Financial Issues		14
Kashrus issues		14
Kashrus Promotion Campaign		14
Kashrus Guide	Policy decisions	14
KLBD articles	* Article from David Steinhof	14
Factory Visits	"* Aqua Scot (8.07.97)
* Brewing Products (11.07.97) visit by Michael Rosin
* Sinbad Ltd, Sri Lanka - black teas for Israel & Expolanska (15.02.2000)
* Ravenswood - visit by Dayan Ehrentreu, Rabbi Conway & Rabbi Lister (21.09.99)
* McVities (Harlesden) - visit by Dayan Ehrentreu & Rabbi Conway (14.09.99)
* Stroever Shellack Bremen (07.10.99)
* Wilhelm Ice Cream - visit by N. Lauer (28.06.99)
* Zhangjiagang Dong Gang Pharmaceutical Development Company, China - acesulfame production, visit by Rabbi Conway (12.05.98)
* Strassen, Luc De Baerdemaker for Bass Beers - visit by Rabbi Conway (27.05.98)
* Alco (Holland) - visit by Rabbi Conway (27.05.98)
* Lionel Hitchen - visit by Rabbi Conway (07.07.98)
* Jordan's - visit by Rabbi Conway (02.02.98)
* CFD (Commercial Freeze Dry, Preston) - visit by Rabbi Conway (18.02.98)
* Dairygold Michelstown - visits from 1994-1997
* Percy Dalton - visit by Rabbi Conway (07.01.98)
* Procedure for supervising the production of McDonald's Apple Pies 
* Bacchini re wheat and pasta plant - visit by Raphie Meyer (23.09.97)
* EBI Foods - visit by Rabbi Conway (08.12.97)
* Phytone - visit by Rabbi Conway & Raphie Meyer (02.12.97)
* Phytone re grapeskin extract, Oupia Winery and Alonzac Distillery, south of France - visit by Dayan Ehrentreu & Rabbi Conway (9-10 Sept 97)
* Lipton (Brussels) (13.02.96)
* Fragrance Oils - visit by Rabbi Conway (26.11.97)
* Carlshamn Mejeri, Sweden (Swedish Glace) (19.06.97)
* Cadbury's report for the Israeli Chief Rabbinate on visits to chocolate factories
* Inspec (19.06.97) - visit by Michael Aaron
* Jacob's Biscuit Factory, Wigston (26.03.97)
* Lossie Foods - visit by Rabbi Michael Rosin (08.07.97), polyethylene glycol range
* Merrydown Wines - visit by Rabbi Conway (22.07.97)
* Oasters - visit by Rabbi Conway & R. Meyer (30.07.97)
* Odense - visit by Rabbi Conway (26.06.97)
* Mars (02.04.97)
* Orkney Herring (07.07.97)
* Pinney's - Rabbi Michael Rosin (09.07.97)
* Roche (17.07.97)
* S&A Lesme Callebaut chocolate producers
* Tate & Lyle - factory inspection re Pesach granulated sugar for Israel
* Herbal teas / black tea produced by Lipton/Unilever (Sri Lanka) for the Israeli Chief Rabbinate Imports Department
* Rosehip/Raspberry, Camomile and Mandarin herbal teas - information supplied by Unilever International
* Wilkin & Sons Ltd, Tiptree, Essex (30.06.97) - visit by Michael Aaron
* Frigo Export Azul initial kosher inspection report (23.08.04)
* Trensums / Nordic Food, Tingsryd, Sweden - visit by Rabbi Conway (18.06.97)
* Bussetti & Circle K - summary report (2004)"	15
Cassettes		16
CDs		16
Photos (DE, DG)		16
Rabbi Conway note books		17
Rabbi Silver		18
Rabbi Silver		19
Fish Lists		20
Analysis of Vertebrate Structure		20
Scales		21
Oils		21
British Museum		21
Fish found in Italy		21
List & info of fish B	"* Billfishes
* Buckling
* Brisling
* Brill
* Bonito"	21
List & info of fish C	"* Cod Roe
* Chubs
* Chinchard
* Coley
* Coalfish
* Caviar
* Catfish
* Carp
* Cadascura"	21
List & info of fish E	* Eels	21
List & info of fish F	"* Flatfish
* Frozen Fish"	21
List & info of fish G	* Garfish	21
List & info of fish H	* Haddock	21
List & info of fish J	* John Dory	21
List & info of fish K	* Kingklip	21
List & info of fish L	"* Ling
* Lumpfish
* Lumpsucker
* Lungfish"	22
List & info of fish M	"* Mackerel
* Marlin
* Megrim
* Mock Halibut
* Mullet"	22
List & info of fish O	"* Smooth Oreodori
* Orange Roughy"	22
List & info of fish P	"* Plaice
* Pilot Fish"	22
List & info of fish R	* Rock Salmon	22
List & info of fish S	"* Saithe
* Sailfish
* Salmon
* Sardines
* Scad
* Shibuta
* Skipjack
* Snoek
* Sild
* Sturgeon
* Swordfish"	22
Newspapers		23
Tuna: Rabbinic Material (1)		23
Tuna: Scientific Material (2)		24
Tuna: Scientific Material (3)		24
Tuna: Miscellaneous including Specimen of Bonito Scales (4)		25
Tuna: Miscellaneous (5)		25
W. Simon & Sons Tuna Production		25
List of fish (T)		25
Fishes & Crustaceans of Cyprus		25
Kosher & Non-Kosher Fish around the world		25
Tuna: Scientific Names, Classification, Description & Illustrations (6 & 7)		26
Tuna: Correspondence (8)		26
Tuna: Biblical / Talmudical (9)		26
Tuna: Rabbinical Literature (10)		26
Tuna: Nomenclature (11)		26
Shechita		26
Turbot		27
London Beis Din Responsa + Article by I Maarsen of the Hague		27
Beis Din Correspondence Dayan Grunfeld		27
Press - Correspondence - Articles		27
Scientific Literature - Dictionaries		28
Scientific Literature		28
Divrei Torah 	"* The Whiskey Brouhaha: nullification of forbidden wine; wine used to impart flavour; taste attributable to dual sources; nullification on behalf of Jewish purchasers; reasons for stringency; a final note
* Kashrus Letter: Ylyon Marshmallows - Kolatin gelatin; human hair wigs; herring fillets; instant potatoes; scallions; pouring hot food into trash/sink; appliances not observant friendly
* The Swordfish & the Sword of King Chezkiyahu
* Daf HaKashrus (1999-2000)
* Annulment of Ingredients (1984)
* The Torah Challenge"	29
JFS		29
Kedassia		29
Eruv		30
